,Fulham,Nott'ham Forest,Bournemouth,Everton,Leeds United,West Ham,Huddersfield,Aston Villa,Burnley,Sheffield Utd,Cardiff City,Manchester Utd,Watford,Newcastle Utd,Leicester City,Liverpool,Brentford,Southampton,Wolves,Brighton,Tottenham,Arsenal,Norwich City,Crystal Palace,Chelsea,West Brom,Manchester City,Luton Town
876,66,45,33,24,0,45,0,45,75,48,0,72,0,87,0,84,57,0,54,69,78,66,0,60,30,0,84,18
877,15,45,24,45,0,33,0,57,45,36,0,72,0,81,0,111,87,0,54,69,69,84,0,51,39,0,102,21
878,54,60,24,51,0,42,0,27,48,24,0,96,0,93,0,69,93,0,78,54,63,81,0,33,57,0,87,6
879,57,39,45,24,0,69,0,54,36,21,0,78,0,87,0,72,48,0,24,96,72,57,0,42,66,0,102,51
880,42,51,39,30,0,48,0,81,51,39,0,75,0,81,0,57,51,0,72,39,45,81,0,51,48,0,105,54
881,30,33,33,27,0,33,0,60,57,39,0,63,0,93,0,87,84,0,69,75,66,84,0,24,54,0,96,33
882,24,60,54,36,0,63,0,84,45,21,0,90,0,84,0,84,51,0,45,42,72,75,0,36,36,0,108,30
883,72,78,24,48,0,39,0,39,33,36,0,57,0,54,0,81,57,0,54,78,75,105,0,45,54,0,84,27
884,57,36,42,33,0,36,0,69,33,45,0,84,0,75,0,90,93,0,69,48,75,72,0,36,18,0,84,45
885,57,45,54,33,0,69,0,66,21,30,0,78,0,81,0,102,54,0,30,66,60,81,0,36,60,0,96,21
886,54,51,36,33,0,48,0,54,27,33,0,60,0,78,0,90,72,0,63,87,42,87,0,42,42,0,93,48
887,51,48,54,39,0,63,0,42,18,42,0,81,0,75,0,99,84,0,60,57,75,48,0,63,33,0,93,15
888,60,66,27,36,0,42,0,69,39,57,0,81,0,51,0,96,75,0,48,21,60,87,0,45,39,0,99,42
889,84,69,33,39,0,48,0,63,48,42,0,84,0,63,0,75,45,0,39,69,72,54,0,45,42,0,102,24
890,48,36,48,69,0,12,0,75,30,24,0,105,0,81,0,93,66,0,33,60,69,72,0,51,33,0,93,42
