,Fulham,Nott'ham Forest,Bournemouth,Everton,Leeds United,West Ham,Huddersfield,Aston Villa,Burnley,Sheffield Utd,Cardiff City,Manchester Utd,Watford,Newcastle Utd,Leicester City,Liverpool,Brentford,Southampton,Wolves,Brighton,Tottenham,Arsenal,Norwich City,Crystal Palace,Chelsea,West Brom,Manchester City,Luton Town
973,45,33,39,45,0,66,0,33,45,33,0,78,0,66,0,87,57,0,45,84,66,87,0,36,66,0,90,39
974,24,54,45,54,0,42,0,66,24,21,0,72,0,57,0,105,45,0,45,96,69,87,0,72,39,0,99,24
975,54,36,51,57,0,30,0,75,57,45,0,54,0,39,0,93,63,0,21,57,45,81,0,72,63,0,105,42
976,60,39,51,69,0,63,0,66,30,21,0,57,0,57,0,87,51,0,78,69,60,81,0,45,45,0,84,27
977,39,51,39,51,0,48,0,63,33,27,0,72,0,87,0,66,60,0,54,66,75,84,0,27,63,0,102,33
978,57,27,24,54,0,60,0,66,48,33,0,78,0,78,0,84,72,0,48,39,60,99,0,54,66,0,87,6
979,63,72,57,60,0,39,0,63,54,42,0,72,0,81,0,48,54,0,30,57,87,42,0,48,48,0,102,21
980,39,33,51,33,0,30,0,66,51,21,0,75,0,57,0,90,87,0,66,45,90,72,0,72,48,0,78,36
981,39,48,30,42,0,69,0,57,57,42,0,60,0,111,0,60,27,0,27,48,81,102,0,66,54,0,93,27
982,72,66,45,15,0,51,0,69,30,42,0,93,0,66,0,66,96,0,63,51,57,42,0,60,60,0,78,18
983,48,54,30,27,0,57,0,99,39,21,0,87,0,93,0,72,63,0,48,63,66,78,0,54,21,0,87,33
984,24,42,33,42,0,27,0,87,75,30,0,72,0,60,0,84,84,0,42,57,63,102,0,45,57,0,90,24
985,60,42,39,51,0,39,0,60,57,33,0,93,0,81,0,51,63,0,51,69,63,90,0,39,39,0,102,18
986,51,57,51,45,0,36,0,57,27,33,0,60,0,78,0,90,87,0,42,78,57,75,0,48,45,0,96,27
987,33,36,60,33,0,63,0,54,72,33,0,75,0,51,0,78,84,0,51,45,63,87,0,57,69,0,84,12
988,69,36,42,24,0,42,0,51,33,45,0,69,0,66,0,81,54,0,78,42,78,69,0,66,84,0,75,36
989,39,57,36,36,0,36,0,72,63,33,0,57,0,69,0,72,87,0,48,45,66,81,0,72,51,0,93,27
990,33,27,60,51,0,39,0,60,18,36,0,69,0,75,0,87,78,0,60,66,84,51,0,54,66,0,105,21
991,78,60,48,24,0,69,0,57,45,24,0,69,0,69,0,87,81,0,36,66,51,99,0,24,21,0,93,39
992,36,45,21,60,0,45,0,87,48,33,0,84,0,72,0,99,36,0,72,42,60,90,0,51,57,0,93,9
993,30,45,57,54,0,57,0,72,21,27,0,78,0,60,0,72,57,0,39,60,66,84,0,60,72,0,96,33
994,54,75,30,51,0,42,0,108,9,27,0,48,0,66,0,87,72,0,45,48,72,84,0,57,66,0,81,18
995,48,48,39,51,0,30,0,60,21,45,0,96,0,81,0,72,84,0,60,42,57,102,0,36,57,0,84,27
996,24,39,66,42,0,69,0,69,48,33,0,84,0,54,0,78,60,0,60,51,63,78,0,78,27,0,99,18
997,63,45,15,42,0,69,0,69,54,33,0,78,0,84,0,57,60,0,60,51,75,48,0,51,51,0,108,27
998,30,51,54,60,0,30,0,51,96,39,0,72,0,63,0,84,60,0,18,63,75,51,0,66,57,0,102,18
999,42,42,30,39,0,15,0,66,54,27,0,90,0,69,0,93,39,0,63,54,63,90,0,48,48,0,96,72
